seed,run_date,run,target,driver,decile1_mean,decile10_mean,spread,abs_spread
20260916,2026-09-16,por,peak_funding_requirement,turns_per_session,19910941.940611,20112096.306447,201154.365836,201154.365836
20260916,2026-09-16,por,peak_funding_requirement,tok_in_per_turn,19852082.478762,20369812.936897,517730.458135,517730.458135
20260916,2026-09-16,por,peak_funding_requirement,tok_out_per_turn,20037794.097634,19972999.665512,-64794.432123,64794.432123
20260916,2026-09-16,por,peak_funding_requirement,price_in_mtok_usd,19693217.369572,20116061.018184,422843.648612,422843.648612
20260916,2026-09-16,por,peak_funding_requirement,price_out_mtok_usd,19717345.056743,20212065.015174,494719.958431,494719.958431
20260916,2026-09-16,por,peak_funding_requirement,verify_overhead,19785105.674843,20227529.500000,442423.825157,442423.825157
20260916,2026-09-16,por,peak_funding_requirement,gate_fire_rate,19892248.118227,19913209.901644,20961.783417,20961.783417
20260916,2026-09-16,por,peak_funding_requirement,infer_decline_yr,20355254.613255,20264556.538044,-90698.075210,90698.075210
20260916,2026-09-16,por,peak_funding_requirement,support_min_hh_month,20115190.108074,20043133.356805,-72056.751269,72056.751269
20260916,2026-09-16,por,peak_funding_requirement,support_usd_hr,20436999.492992,20059834.425913,-377165.067079,377165.067079
20260916,2026-09-16,por,peak_funding_requirement,pay_pct,20030174.690060,20420947.741994,390773.051934,390773.051934
20260916,2026-09-16,por,peak_funding_requirement,pay_fixed_usd,20120425.978955,20502802.851236,382376.872282,382376.872282
20260916,2026-09-16,por,peak_funding_requirement,hosting_hh_usd,19565462.575309,20170757.061240,605294.485931,605294.485931
20260916,2026-09-16,por,peak_funding_requirement,verif_cost_usd,19804847.231780,20402631.506190,597784.274410,597784.274410
20260916,2026-09-16,por,peak_funding_requirement,minutes_per_item,15783803.042574,24489699.579110,8705896.536536,8705896.536536
20260916,2026-09-16,por,peak_funding_requirement,examiner_rate_gbp_hr,16603972.521059,22817510.639175,6213538.118116,6213538.118116
20260916,2026-09-16,por,peak_funding_requirement,writer_gbp_item,16002640.430619,24823349.508825,8820709.078206,8820709.078206
20260916,2026-09-16,por,peak_funding_requirement,items_per_unit,13808430.873868,26339369.432419,12530938.558551,12530938.558551
20260916,2026-09-16,por,peak_funding_requirement,board_reuse,24160506.474285,16099350.450019,-8061156.024266,8061156.024266
20260916,2026-09-16,por,peak_funding_requirement,market_reuse,22358729.907693,18001617.711914,-4357112.195778,4357112.195778
20260916,2026-09-16,por,peak_funding_requirement,reval_frac_yr,18317852.129158,21794719.700755,3476867.571597,3476867.571597
20260916,2026-09-16,por,peak_funding_requirement,eng_usd_yr,17567430.835798,22943205.805054,5375774.969256,5375774.969256
20260916,2026-09-16,por,peak_funding_requirement,uk_gbp_yr,19216465.305541,21182694.802679,1966229.497139,1966229.497139
20260916,2026-09-16,por,peak_funding_requirement,overhead_mult,19010465.386098,21099690.039379,2089224.653281,2089224.653281
20260916,2026-09-16,por,peak_funding_requirement,units_per_content_head,22811247.847681,18960657.530489,-3850590.317192,3850590.317192
20260916,2026-09-16,por,peak_funding_requirement,eng_ramp_mult,18993863.097646,20753960.490026,1760097.392380,1760097.392380
20260916,2026-09-16,por,peak_funding_requirement,cac_anchor_usd,13875789.955967,23893276.411424,10017486.455457,10017486.455457
20260916,2026-09-16,por,peak_funding_requirement,cac_rel_us,19199499.649696,20237802.304626,1038302.654929,1038302.654929
20260916,2026-09-16,por,peak_funding_requirement,cac_rel_in,20135471.669161,20129143.404939,-6328.264222,6328.264222
20260916,2026-09-16,por,peak_funding_requirement,cac_rel_row,19629220.104988,20092480.201934,463260.096946,463260.096946
20260916,2026-09-16,por,peak_funding_requirement,sat_kappa,18746073.829309,21172959.615708,2426885.786399,2426885.786399
20260916,2026-09-16,por,peak_funding_requirement,cac_ref_spend_usd,22587382.071975,17139299.159318,-5448082.912657,5448082.912657
20260916,2026-09-16,por,peak_funding_requirement,pool_pressure_psi,19931035.731195,20084554.621656,153518.890461,153518.890461
20260916,2026-09-16,por,peak_funding_requirement,creator_share,20659917.029354,19066780.641320,-1593136.388035,1593136.388035
20260916,2026-09-16,por,peak_funding_requirement,creator_cac_rel,19598903.924404,20628305.230668,1029401.306264,1029401.306264
20260916,2026-09-16,por,peak_funding_requirement,pool_uk,20569713.262941,19927454.578449,-642258.684492,642258.684492
20260916,2026-09-16,por,peak_funding_requirement,pool_rel_us,20302646.003454,20053649.247234,-248996.756220,248996.756220
20260916,2026-09-16,por,peak_funding_requirement,pool_rel_in,20170955.011734,19816991.337037,-353963.674697,353963.674697
20260916,2026-09-16,por,peak_funding_requirement,pool_rel_row,20432422.078813,19983228.857181,-449193.221632,449193.221632
20260916,2026-09-16,por,peak_funding_requirement,acq_season_amp,20110881.196082,20111470.538707,589.342625,589.342625
20260916,2026-09-16,por,peak_funding_requirement,seg_mix_exam,20344722.926801,19576441.263293,-768281.663508,768281.663508
20260916,2026-09-16,por,peak_funding_requirement,seg_mix_alevel,20278905.472516,19752334.731110,-526570.741406,526570.741406
20260916,2026-09-16,por,peak_funding_requirement,acq_pct_of_rev,20692731.855772,20190455.762935,-502276.092837,502276.092837
20260916,2026-09-16,por,peak_funding_requirement,acq_launch_ramp,20252487.831200,19768570.081750,-483917.749449,483917.749449
20260916,2026-09-16,por,peak_funding_requirement,shock_rho,20008822.613664,20251936.390629,243113.776965,243113.776965
20260916,2026-09-16,por,peak_funding_requirement,shock_sd,19916706.394053,20120541.365860,203834.971807,203834.971807
20260916,2026-09-16,por,peak_funding_requirement,school_seats,20480023.190210,19778774.669708,-701248.520502,701248.520502
20260916,2026-09-16,por,peak_funding_requirement,school_gbp_seat_yr,19872764.491511,20207132.094163,334367.602652,334367.602652
20260916,2026-09-16,por,peak_funding_requirement,school_win_rate,20341459.762423,20586668.537822,245208.775399,245208.775399
20260916,2026-09-16,por,peak_funding_requirement,school_rep_pipeline_yr,20166823.413470,19782432.120496,-384391.292974,384391.292974
20260916,2026-09-16,por,peak_funding_requirement,school_renewal,19877369.579621,19929345.913417,51976.333796,51976.333796
20260916,2026-09-16,por,peak_funding_requirement,school_cycle_m,20143336.069612,20506570.471211,363234.401599,363234.401599
20260916,2026-09-16,por,peak_funding_requirement,us_sales_tax_eff,20039877.749200,20386120.310618,346242.561418,346242.561418
20260916,2026-09-16,por,peak_funding_requirement,step_entity_setup_usd,20443623.662264,20033545.219746,-410078.442518,410078.442518
20260916,2026-09-16,por,peak_funding_requirement,step_entity_annual_usd,19829556.835361,20366548.979104,536992.143742,536992.143742
20260916,2026-09-16,por,peak_funding_requirement,step_cert_setup_usd,20178707.937855,19790275.203637,-388432.734218,388432.734218
20260916,2026-09-16,por,peak_funding_requirement,step_cert_annual_usd,20059518.651874,20001318.776193,-58199.875681,58199.875681
20260916,2026-09-16,por,peak_funding_requirement,step_uk_rep_usd_yr,20206434.431226,19590172.591840,-616261.839386,616261.839386
20260916,2026-09-16,por,peak_funding_requirement,step_counsel_initial_usd,19933951.993543,20130501.604567,196549.611024,196549.611024
20260916,2026-09-16,por,peak_funding_requirement,step_counsel_market_usd,19709859.527237,20273682.849297,563823.322060,563823.322060
20260916,2026-09-16,por,peak_funding_requirement,step_office_usd_head_yr,20137471.698487,20442123.024476,304651.325989,304651.325989
20260916,2026-09-16,por,peak_funding_requirement,step_dpia_audit_usd_yr,20062521.558821,20395435.841588,332914.282767,332914.282767
20260916,2026-09-16,por,reaches_profitability,anchor_u,0.378000,0.041500,-0.336500,0.336500
20260916,2026-09-16,por,reaches_profitability,price_uk_tut_gbp,0.137500,0.261000,0.123500,0.123500
